trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
11010,22:45:00,22:45:00,4,6,"",0,0,69727.99,1
11010,22:54:00,22:54:00,3,7,"",0,0,78852.24,1
11010,23:10:00,23:10:00,2,8,"",0,0,98916.83,1
11010,23:18:00,23:18:00,1,9,"",0,0,99880.58,1
12020,16:47:00,16:47:00,1,1,"",0,0,0.00,1
12020,16:50:00,16:50:00,2,2,"",0,0,966.87,1
12020,17:05:00,17:05:00,3,3,"",0,0,21014.04,1
12020,17:14:00,17:14:00,4,4,"",0,0,30117.52,1
12020,17:23:00,17:23:00,5,5,"",0,0,41748.17,1
12020,17:39:00,17:39:00,6,6,"",0,0,58957.42,1
13010,14:25:00,14:25:00,1,1,"",0,0,0.00,1
13010,14:28:00,14:28:00,2,2,"",0,0,966.87,1
13010,14:43:00,14:43:00,3,3,"",0,0,21014.04,1
13010,14:52:00,14:52:00,4,4,"",0,0,30117.52,1
13010,15:01:00,15:01:00,5,5,"",0,0,41748.17,1
13010,15:13:00,15:13:00,6,6,"",0,0,58957.42,1
14020,17:30:00,17:30:00,1,1,"",0,0,0.00,1
14020,17:33:00,17:33:00,2,2,"",0,0,966.87,1
14020,17:50:00,17:50:00,3,3,"",0,0,21014.04,1
14020,18:01:00,18:01:00,4,4,"",0,0,30117.52,1
14020,18:10:00,18:10:00,5,5,"",0,0,41748.17,1
14020,18:25:00,18:25:00,6,6,"",0,0,58957.42,1
14020,18:33:00,18:33:00,7,7,"",0,0,69127.48,1
14020,18:39:00,18:39:00,8,8,"",0,0,76262.52,1
14020,19:04:00,19:04:00,9,9,"",0,0,99763.09,1
15010,16:00:00,16:00:00,1,1,"",0,0,0.00,1
15010,16:03:00,16:03:00,2,2,"",0,0,966.87,1
15010,16:18:00,16:18:00,3,3,"",0,0,21014.04,1
15010,16:27:00,16:27:00,4,4,"",0,0,30117.52,1
15010,16:36:00,16:36:00,5,5,"",0,0,41748.17,1
15010,16:52:00,16:52:00,6,6,"",0,0,58957.42,1
16020,20:47:00,20:47:00,9,1,"",0,0,0.00,1
16020,21:10:00,21:10:00,8,2,"",0,0,23514.15,1
16020,21:17:00,21:17:00,7,3,"",0,0,30669.27,1
16020,21:26:00,21:26:00,6,4,"",0,0,40851.89,1
16020,21:38:00,21:38:00,5,5,"",0,0,58078.19,1
16020,21:47:00,21:47:00,4,6,"",0,0,69727.99,1
16020,21:56:00,21:56:00,3,7,"",0,0,78852.24,1
16020,22:12:00,22:12:00,2,8,"",0,0,98916.83,1
16020,22:17:00,22:17:00,1,9,"",0,0,99880.58,1
17020,16:08:00,16:08:00,6,1,"",0,0,0.00,1
17020,16:20:00,16:20:00,5,2,"",0,0,17226.30,1
17020,16:29:00,16:29:00,4,3,"",0,0,28876.10,1
17020,16:38:00,16:38:00,3,4,"",0,0,38000.35,1
17020,16:54:00,16:54:00,2,5,"",0,0,58064.94,1
17020,17:00:00,17:00:00,1,6,"",0,0,59028.69,1
18010,08:10:00,08:10:00,1,1,"",0,0,0.00,1
18010,08:13:00,08:13:00,2,2,"",0,0,966.87,1
18010,08:26:00,08:26:00,3,3,"",0,0,21014.04,1
18010,08:33:00,08:33:00,4,4,"",0,0,30117.52,1
18010,08:42:00,08:42:00,5,5,"",0,0,41748.17,1
18010,08:56:00,08:56:00,6,6,"",0,0,58957.42,1
18010,09:05:00,09:05:00,7,7,"",0,0,69127.48,1
18010,09:11:00,09:11:00,8,8,"",0,0,76262.52,1
18010,09:42:00,09:42:00,9,9,"",0,0,99763.09,1
19020,18:17:00,18:17:00,1,1,"",0,0,0.00,1
19020,18:20:00,18:20:00,2,2,"",0,0,966.87,1
19020,18:35:00,18:35:00,3,3,"",0,0,21014.04,1
19020,18:44:00,18:44:00,4,4,"",0,0,30117.52,1
19020,18:53:00,18:53:00,5,5,"",0,0,41748.17,1
19020,19:07:00,19:07:00,6,6,"",0,0,58957.42,1
19020,19:15:00,19:15:00,7,7,"",0,0,69127.48,1
19020,19:21:00,19:21:00,8,8,"",0,0,76262.52,1
19020,19:49:00,19:49:00,9,9,"",0,0,99763.09,1
20020,06:35:00,06:35:00,1,1,"",0,0,0.00,1
20020,06:38:00,06:38:00,2,2,"",0,0,966.87,1
20020,06:53:00,06:53:00,3,3,"",0,0,21014.04,1
20020,07:02:00,07:02:00,4,4,"",0,0,30117.52,1
20020,07:11:00,07:11:00,5,5,"",0,0,41748.17,1
20020,07:27:00,07:27:00,6,6,"",0,0,58957.42,1
21020,11:35:00,11:35:00,1,1,"",0,0,0.00,1
21020,11:38:00,11:38:00,2,2,"",0,0,966.87,1
21020,11:54:00,11:54:00,3,3,"",0,0,21014.04,1
21020,12:04:00,12:04:00,4,4,"",0,0,30117.52,1
21020,12:14:00,12:14:00,5,5,"",0,0,41748.17,1
21020,12:25:00,12:25:00,6,6,"",0,0,58957.42,1
22020,14:28:00,14:28:00,6,1,"",0,0,0.00,1
22020,14:40:00,14:40:00,5,2,"",0,0,17226.30,1
22020,14:49:00,14:49:00,4,3,"",0,0,28876.10,1
22020,14:58:00,14:58:00,3,4,"",0,0,38000.35,1
22020,15:14:00,15:14:00,2,5,"",0,0,58064.94,1
22020,15:22:00,15:22:00,1,6,"",0,0,59028.69,1
23010,17:54:00,17:54:00,6,1,"",0,0,0.00,1
23010,18:06:00,18:06:00,5,2,"",0,0,17226.30,1
23010,18:15:00,18:15:00,4,3,"",0,0,28876.10,1
23010,18:24:00,18:24:00,3,4,"",0,0,38000.35,1
23010,18:40:00,18:40:00,2,5,"",0,0,58064.94,1
23010,18:46:00,18:46:00,1,6,"",0,0,59028.69,1
24020,21:30:00,21:30:00,9,1,"",0,0,0.00,1
24020,21:54:00,21:54:00,8,2,"",0,0,23514.15,1
24020,22:01:00,22:01:00,7,3,"",0,0,30669.27,1
24020,22:10:00,22:10:00,6,4,"",0,0,40851.89,1
24020,22:22:00,22:22:00,5,5,"",0,0,58078.19,1
24020,22:31:00,22:31:00,4,6,"",0,0,69727.99,1
24020,22:40:00,22:40:00,3,7,"",0,0,78852.24,1
24020,22:57:00,22:57:00,2,8,"",0,0,98916.83,1
24020,23:01:00,23:01:00,1,9,"",0,0,99880.58,1
25020,06:45:00,06:45:00,6,1,"",0,0,0.00,1
25020,06:57:00,06:57:00,5,2,"",0,0,17226.30,1
25020,07:06:00,07:06:00,4,3,"",0,0,28876.10,1
25020,07:15:00,07:15:00,3,4,"",0,0,38000.35,1
25020,07:31:00,07:31:00,2,5,"",0,0,58064.94,1
25020,07:37:00,07:37:00,1,6,"",0,0,59028.69,1
26020,08:45:00,08:45:00,6,1,"",0,0,0.00,1
26020,09:00:00,09:00:00,7,2,"",0,0,10170.06,1
26020,09:10:00,09:10:00,8,3,"",0,0,17305.10,1
26020,09:30:00,09:30:00,9,4,"",0,0,40805.67,1
27020,10:45:00,10:45:00,6,1,"",0,0,0.00,1
27020,10:57:00,10:57:00,5,2,"",0,0,17226.30,1
27020,11:06:00,11:06:00,4,3,"",0,0,28876.10,1
27020,11:15:00,11:15:00,3,4,"",0,0,38000.35,1
27020,11:31:00,11:31:00,2,5,"",0,0,58064.94,1
27020,11:39:00,11:39:00,1,6,"",0,0,59028.69,1
28010,16:10:00,16:10:00,6,1,"",0,0,0.00,1
28010,16:22:00,16:22:00,5,2,"",0,0,17226.30,1
28010,16:31:00,16:31:00,4,3,"",0,0,28876.10,1
28010,16:40:00,16:40:00,3,4,"",0,0,38000.35,1
28010,16:56:00,16:56:00,2,5,"",0,0,58064.94,1
28010,17:02:00,17:02:00,1,6,"",0,0,59028.69,1
29020,06:05:00,06:05:00,8,1,"",0,0,0.00,1
29020,06:11:00,06:11:00,7,2,"",0,0,7155.12,1
29020,06:21:00,06:21:00,6,3,"",0,0,17337.74,1
29020,06:32:00,06:32:00,5,4,"",0,0,34564.04,1
29020,06:44:00,06:44:00,4,5,"",0,0,46213.84,1
29020,06:53:00,06:53:00,3,6,"",0,0,55338.09,1
29020,07:06:00,07:06:00,2,7,"",0,0,75402.68,1
29020,07:08:00,07:08:00,1,8,"",0,0,76366.43,1
30020,07:40:00,07:40:00,1,1,"",0,0,0.00,1
30020,07:43:00,07:43:00,2,2,"",0,0,966.87,1
30020,08:01:00,08:01:00,3,3,"",0,0,21014.04,1
30020,08:13:00,08:13:00,4,4,"",0,0,30117.52,1
30020,08:22:00,08:22:00,5,5,"",0,0,41748.17,1
30020,08:33:00,08:33:00,6,6,"",0,0,58957.42,1
31020,09:50:00,09:50:00,9,1,"",0,0,0.00,1
31020,10:10:00,10:10:00,8,2,"",0,0,23514.15,1
31020,10:20:00,10:20:00,7,3,"",0,0,30669.27,1
31020,10:35:00,10:35:00,6,4,"",0,0,40851.89,1
32020,08:22:00,08:22:00,1,1,"",0,0,0.00,1
32020,08:25:00,08:25:00,2,2,"",0,0,966.87,1
32020,08:41:00,08:41:00,3,3,"",0,0,21014.04,1
32020,08:52:00,08:52:00,4,4,"",0,0,30117.52,1
32020,09:01:00,09:01:00,5,5,"",0,0,41748.17,1
32020,09:12:00,09:12:00,6,6,"",0,0,58957.42,1
33020,22:25:00,22:25:00,9,1,"",0,0,0.00,1
33020,22:48:00,22:48:00,8,2,"",0,0,23514.15,1
33020,22:55:00,22:55:00,7,3,"",0,0,30669.27,1
33020,23:05:00,23:05:00,6,4,"",0,0,40851.89,1
33020,23:17:00,23:17:00,5,5,"",0,0,58078.19,1
33020,23:26:00,23:26:00,4,6,"",0,0,69727.99,1
33020,23:35:00,23:35:00,3,7,"",0,0,78852.24,1
33020,23:52:00,23:52:00,2,8,"",0,0,98916.83,1
33020,23:59:00,23:59:00,1,9,"",0,0,99880.58,1
34020,11:53:00,11:53:00,6,1,"",0,0,0.00,1
34020,12:05:00,12:05:00,5,2,"",0,0,17226.30,1
34020,12:14:00,12:14:00,4,3,"",0,0,28876.10,1
34020,12:23:00,12:23:00,3,4,"",0,0,38000.35,1
34020,12:38:00,12:38:00,2,5,"",0,0,58064.94,1
34020,12:46:00,12:46:00,1,6,"",0,0,59028.69,1
35020,12:35:00,12:35:00,6,1,"",0,0,0.00,1
35020,12:50:00,12:50:00,7,2,"",0,0,10170.06,1
35020,13:00:00,13:00:00,8,3,"",0,0,17305.10,1
35020,13:20:00,13:20:00,9,4,"",0,0,40805.67,1
36010,10:00:00,10:00:00,9,1,"",0,0,0.00,1
36010,10:21:00,10:21:00,8,2,"",0,0,23514.15,1
36010,10:28:00,10:28:00,7,3,"",0,0,30669.27,1
36010,10:39:00,10:39:00,6,4,"",0,0,40851.89,1
36010,10:51:00,10:51:00,5,5,"",0,0,58078.19,1
36010,11:00:00,11:00:00,4,6,"",0,0,69727.99,1
36010,11:09:00,11:09:00,3,7,"",0,0,78852.24,1
36010,11:25:00,11:25:00,2,8,"",0,0,98916.83,1
36010,11:33:00,11:33:00,1,9,"",0,0,99880.58,1
37010,10:05:00,10:05:00,1,1,"",0,0,0.00,1
37010,10:08:00,10:08:00,2,2,"",0,0,966.87,1
37010,10:23:00,10:23:00,3,3,"",0,0,21014.04,1
37010,10:32:00,10:32:00,4,4,"",0,0,30117.52,1
37010,10:41:00,10:41:00,5,5,"",0,0,41748.17,1
37010,10:56:00,10:56:00,6,6,"",0,0,58957.42,1
37010,11:04:00,11:04:00,7,7,"",0,0,69127.48,1
37010,11:10:00,11:10:00,8,8,"",0,0,76262.52,1
37010,11:38:00,11:38:00,9,9,"",0,0,99763.09,1
38010,12:00:00,12:00:00,9,1,"",0,0,0.00,1
38010,12:22:00,12:22:00,8,2,"",0,0,23514.15,1
38010,12:28:00,12:28:00,7,3,"",0,0,30669.27,1
38010,12:39:00,12:39:00,6,4,"",0,0,40851.89,1
38010,12:51:00,12:51:00,5,5,"",0,0,58078.19,1
38010,13:00:00,13:00:00,4,6,"",0,0,69727.99,1
38010,13:09:00,13:09:00,3,7,"",0,0,78852.24,1
38010,13:25:00,13:25:00,2,8,"",0,0,98916.83,1
38010,13:29:00,13:29:00,1,9,"",0,0,99880.58,1
39020,17:51:00,17:51:00,6,1,"",0,0,0.00,1
39020,18:03:00,18:03:00,5,2,"",0,0,17226.30,1
39020,18:12:00,18:12:00,4,3,"",0,0,28876.10,1
39020,18:21:00,18:21:00,3,4,"",0,0,38000.35,1
39020,18:37:00,18:37:00,2,5,"",0,0,58064.94,1
39020,18:43:00,18:43:00,1,6,"",0,0,59028.69,1
